# frame t_err(m) r_err(deg) dx dy dz
235 0.115679 2.594953 0.097304 0.013894 -0.060996
236 0.140745 2.857866 0.116749 -0.055537 0.055628
237 0.163151 2.571161 0.102931 -0.091220 0.087764
238 0.100570 2.692923 0.078968 -0.051959 0.034330
239 0.096819 2.392139 0.075042 0.025127 -0.055778
240 0.115614 1.742912 0.047912 0.044163 -0.095502
241 0.073004 1.270170 -0.013934 0.030983 -0.064618
242 0.015326 1.343963 -0.012594 -0.008270 -0.002811
243 0.056534 1.388426 -0.001249 -0.038105 0.041744
244 0.033888 1.282703 0.026838 0.001234 0.020653
245 0.033182 1.293672 0.028754 0.014011 -0.008827
246 0.025682 1.390766 0.013994 -0.006430 -0.020552
247 0.048000 1.438679 -0.001624 -0.047853 -0.003386
248 0.072819 1.373874 -0.015272 -0.067075 0.023881
249 0.071977 1.310096 0.012271 -0.069597 -0.013651
250 0.101102 1.381150 0.039494 0.025744 -0.089438
251 0.186397 2.100844 0.107693 0.066310 -0.136928
252 0.168047 1.858698 0.112565 0.078804 -0.096741
253 0.061555 1.737026 0.059755 0.014374 0.003436
254 0.101931 1.395917 -0.004637 -0.017841 0.100251
255 0.107749 0.884499 -0.015643 -0.043899 0.097149
256 0.020409 1.339569 0.005683 -0.001192 -0.019565
257 0.171873 1.785793 0.073692 0.032998 -0.151727
258 0.171821 2.465421 0.089656 0.020235 -0.145172
259 0.089937 2.396875 0.075681 -0.016220 -0.045804
260 0.088405 2.115860 0.050071 -0.053281 0.049693
261 0.084000 1.897181 0.057909 -0.033988 0.050471
262 0.080332 2.558603 0.016924 0.040056 0.067545
263 0.058890 2.599059 -0.043996 0.006523 0.038599
264 0.124731 2.970078 -0.072334 -0.002062 -0.101595
265 0.253758 3.445221 0.049108 -0.025637 -0.247637
266 0.220880 3.582134 0.116985 -0.010284 -0.187073
267 0.068748 2.315413 0.062530 0.006344 0.027856
268 0.091244 0.819148 -0.029693 0.004154 0.086177
269 0.051928 0.784664 -0.038714 -0.007189 -0.033855
270 0.180895 1.863838 0.021859 -0.013379 -0.179070
271 0.203020 2.558437 0.077335 -0.000453 -0.187714
272 0.127514 2.674851 0.077625 -0.003796 -0.101093
273 0.022992 1.795577 0.003216 -0.017904 -0.014062
274 0.066002 1.131124 -0.054774 -0.025902 -0.026177
275 0.101797 1.302695 -0.040754 -0.010635 -0.092675
276 0.107716 2.059908 0.033151 0.013736 -0.101563
277 0.082962 2.760152 0.080405 0.005903 -0.019566
278 0.110080 2.701264 0.094030 -0.004261 0.057078
279 0.115489 2.562074 0.077941 -0.012288 0.084332
280 0.080809 1.730729 0.044007 -0.014029 0.066308
281 0.058787 1.448391 0.023622 -0.017137 0.051032
282 0.039059 1.490137 0.022947 -0.006958 0.030833
283 0.049163 1.493605 0.029130 0.014571 -0.036826
284 0.115822 1.475370 0.015272 0.028508 -0.111215
285 0.147024 1.379640 -0.008219 0.031434 -0.143388
286 0.121132 1.374536 -0.038245 -0.007119 -0.114715
287 0.099780 1.049953 -0.047974 -0.012982 -0.086521
288 0.075892 1.084232 -0.021085 0.000518 -0.072902
289 0.098502 0.927244 -0.006805 0.033064 -0.092537
290 0.116749 0.916799 -0.010551 0.013039 -0.115538
291 0.128397 0.859220 -0.017608 0.028922 -0.123852
292 0.127199 0.910172 -0.019236 -0.005683 -0.125607
293 0.122138 1.158575 -0.017807 0.025201 -0.118176
294 0.136640 1.114503 -0.018331 0.015794 -0.134481
295 0.143715 1.099597 -0.025475 0.001516 -0.141431
296 0.140732 1.173820 -0.019970 0.008559 -0.139045
297 0.117661 1.273000 -0.009531 0.000821 -0.117271
298 0.088300 1.418704 -0.000120 -0.004839 -0.088167
299 0.074815 1.522293 -0.003796 -0.014248 -0.073348
300 0.086321 1.546373 -0.011277 -0.001800 -0.085562
301 0.108323 1.462938 0.010059 0.017958 -0.106350
302 0.124929 1.558147 0.013221 0.036477 -0.118751
303 0.121832 1.591599 0.007758 0.043388 -0.113579
304 0.097011 1.605328 -0.000227 0.015276 -0.095801
305 0.092625 1.448741 -0.008159 0.023641 -0.089185
306 0.092450 1.345127 0.011780 0.026719 -0.087717
307 0.097706 1.343602 0.011939 0.022045 -0.094435
308 0.088763 1.333781 0.009165 0.002588 -0.088250
309 0.083981 1.315222 0.002826 -0.013336 -0.082868
310 0.073177 1.230607 0.007974 -0.002029 -0.072713
311 0.080350 1.210614 0.003728 -0.001776 -0.080244
312 0.086719 1.153109 -0.006374 0.001925 -0.086463
313 0.086601 1.143524 -0.003298 -0.016336 -0.084982
314 0.073067 1.295460 0.004851 -0.023747 -0.068929
315 0.078570 1.492409 0.012473 -0.045453 -0.062862
316 0.083777 1.574985 0.001990 -0.050476 -0.066834
317 0.078228 1.656842 -0.001383 -0.028373 -0.072888
318 0.087605 1.672481 0.003261 0.007824 -0.087194
319 0.085298 1.634144 0.005040 0.008679 -0.084706
320 0.080583 1.659840 0.011479 0.003389 -0.079689
321 0.077990 1.716743 0.017688 -0.030188 -0.069701
322 0.066767 1.729331 0.022793 -0.018842 -0.059861
323 0.086321 1.541655 0.036136 0.053956 -0.056870
324 0.088171 1.470033 0.035949 0.058126 -0.055706
325 0.073910 1.416478 0.017285 0.004480 -0.071721
326 0.094635 1.438375 0.013110 -0.051354 -0.078401
