# fid r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz
162 0.99876 -0.03580 -0.03464 -0.50405 0.03630 0.99925 0.01377 -5.34852 0.03412 -0.01501 0.99931 -0.03408
163 0.99844 -0.04328 -0.03527 -0.49436 0.04380 0.99894 0.01408 -5.36597 0.03463 -0.01560 0.99928 -0.03607
164 0.99805 -0.05114 -0.03586 -0.50042 0.05165 0.99857 0.01349 -5.40643 0.03512 -0.01532 0.99927 -0.03760
165 0.99761 -0.05982 -0.03449 -0.50118 0.06031 0.99809 0.01345 -5.45571 0.03362 -0.01550 0.99931 -0.03681
166 0.99701 -0.06948 -0.03379 -0.48706 0.06997 0.99746 0.01340 -5.49404 0.03277 -0.01573 0.99934 -0.03733
167 0.99592 -0.08342 -0.03456 -0.46667 0.08400 0.99634 0.01568 -5.49703 0.03313 -0.01852 0.99928 -0.03234
168 0.99554 -0.08685 -0.03693 -0.48729 0.08756 0.99599 0.01818 -5.55901 0.03521 -0.02133 0.99915 -0.03308
169 0.99555 -0.08731 -0.03543 -0.50034 0.08800 0.99595 0.01852 -5.61459 0.03367 -0.02156 0.99920 -0.03427
170 0.99555 -0.08783 -0.03418 -0.49463 0.08852 0.99589 0.01930 -5.64621 0.03235 -0.02224 0.99923 -0.03675
171 0.99557 -0.08807 -0.03280 -0.46403 0.08876 0.99585 0.02014 -5.66683 0.03089 -0.02296 0.99926 -0.03698
172 0.99554 -0.08957 -0.02974 -0.46699 0.09017 0.99573 0.01965 -5.71393 0.02785 -0.02225 0.99936 -0.03639
173 0.99544 -0.09109 -0.02835 -0.47938 0.09166 0.99560 0.01929 -5.75765 0.02647 -0.02180 0.99941 -0.03252
174 0.99533 -0.09245 -0.02786 -0.46369 0.09300 0.99548 0.01923 -5.79318 0.02595 -0.02173 0.99943 -0.03202
175 0.99511 -0.09479 -0.02762 -0.47071 0.09531 0.99528 0.01840 -5.83796 0.02574 -0.02094 0.99945 -0.03074
176 0.99494 -0.09674 -0.02701 -0.44858 0.09725 0.99509 0.01842 -5.85493 0.02509 -0.02096 0.99947 -0.03580
177 0.99503 -0.09593 -0.02683 -0.45767 0.09636 0.99523 0.01538 -5.91328 0.02523 -0.01789 0.99952 -0.03319
178 0.99502 -0.09595 -0.02701 -0.45476 0.09637 0.99523 0.01493 -5.94718 0.02545 -0.01745 0.99952 -0.02864
179 0.99518 -0.09484 -0.02510 -0.47121 0.09525 0.99533 0.01587 -5.99504 0.02348 -0.01818 0.99956 -0.02801
180 0.99540 -0.09295 -0.02339 -0.42774 0.09335 0.99549 0.01673 -6.00588 0.02173 -0.01884 0.99959 -0.03057
181 0.99542 -0.09309 -0.02166 -0.44856 0.09339 0.99554 0.01339 -6.05757 0.02032 -0.01535 0.99968 -0.03329
182 0.99570 -0.09050 -0.01998 -0.45479 0.09072 0.99582 0.01030 -6.09503 0.01897 -0.01207 0.99975 -0.03493
183 0.99588 -0.08834 -0.02063 -0.43824 0.08855 0.99603 0.00905 -6.14129 0.01975 -0.01084 0.99975 -0.02612
184 0.99615 -0.08478 -0.02220 -0.44588 0.08502 0.99633 0.01011 -6.17832 0.02126 -0.01196 0.99970 -0.03052
185 0.99668 -0.07941 -0.01822 -0.43407 0.07956 0.99680 0.00788 -6.22298 0.01754 -0.00931 0.99980 -0.02708
186 0.99691 -0.07634 -0.01871 -0.43308 0.07652 0.99703 0.00883 -6.26172 0.01798 -0.01024 0.99979 -0.02709
187 0.99714 -0.07335 -0.01835 -0.42950 0.07352 0.99726 0.00836 -6.29361 0.01769 -0.00969 0.99980 -0.02427
188 0.99735 -0.07027 -0.01877 -0.41754 0.07044 0.99748 0.00859 -6.32962 0.01812 -0.00989 0.99979 -0.02349
189 0.99757 -0.06714 -0.01837 -0.42855 0.06733 0.99768 0.00975 -6.37778 0.01767 -0.01096 0.99978 -0.02583
190 0.99778 -0.06372 -0.01943 -0.42649 0.06393 0.99790 0.01066 -6.41605 0.01871 -0.01188 0.99975 -0.02356
191 0.99798 -0.06033 -0.02015 -0.42635 0.06059 0.99808 0.01264 -6.44975 0.01935 -0.01384 0.99972 -0.02068
